 Quero que você conheça ; 1171
 Quero ser como Davi ; 9982
 Quero ser fiel ao meu Senhor ; 4410
 Quero ser um vaso de bênção ; 4434
 Quero tocar em tuas vestes, Senhor ; 1183
 Quero viver para sempre com Jesus ; 9009
 Redentor onipotente ; 2305
 Regozijai-vos ; 5553
 Reunimo-nos aqui pra te adorar; 6604
 Revelação abre pra você ; 9989
 Reveste, Senhor, teu povo ; 11
 Rocha eterna ; 1191
 Rocha minha ; 3357
 Rochedo forte é o Senhor ; 3381
 Rude cruz ; 1114
 Santo é o que está no trono ; 6635
 Santo é seu nome ; 6662
 Santo! Santo! Santo! Deus onipotente! ; 6643
 Santo, Santo, Santo, ó Deus de glória e poder ; 6645
 São de Jesus as histórias que eu quero ouvir ; 9927
 Saudai o nome de Jesus ; 6664
 Se a fé por vezes falta ; 3361
 Se a vida parece pesada ; 3308
 Se anda triste o teu viver ; 1152
 Se andarmos na luz ; 16
 Se as lutas da vida ; 3389
 Se cansado tu estás ; 1144
 Se Deus é por nós ; 3343
 Se dispuseres o teu coração ; 1158
 Se dispuseres o teu coração (Jó 11:13 a 19) ; 1157
 Se em profundo abismo te encontras ; 3324
 Se em teu viver ; 1151
 Se em tua vida falta paz ; 1154
 Se em tua vida não encontras paz e luz ; 1188
 Se esta noite Deus pedir tua alma ; 1146
 Se estás cansado ; 8806
 Se eu estivesse na alvorada ; 5550
 Sê exaltado, ó Deus ; 6665
 Se hoje escutares ; 3335
 Se não fosse o amor ; 2260
